    ,0                 ,1
379 ,厌奶                ,14
380 ,低FT               ,14
381 ,脓疱疮               ,14
382 ,毛细血管瘤             ,14
383 ,阴茎炎               ,14
384 ,膝关节疼痛             ,14
385 ,室间隔缺损术后           ,14
386 ,隐睾                ,14
387 ,维生素D不足            ,14
388 ,重型                ,14
389 ,肺动脉狭窄             ,14
390 ,糖尿病               ,14
391 ,CPP追高             ,13
392 ,AIHA              ,13
393 ,中枢性性早熟            ,13
394 ,手足口病痊愈            ,13
395 ,婴儿肝炎综合征           ,13
396 ,神经系统无异常发现         ,13
397 ,左                 ,13
398 ,反复化扁              ,13
399 ,急性白血病             ,13
400 ,胡桃夹综合征            ,13
401 ,产前咨询              ,13
402 ,肌酶增高              ,13
403 ,痫性发作              ,13
404 ,包皮环切术后            ,13
405 ,重度                ,13
406 ,电话回复不来就诊          ,13
407 ,阑尾炎               ,13
408 ,精神运动发育迟滞          ,13
409 ,发热抽搐              ,13
410 ,肛周炎               ,13
411 ,颅内出血              ,13
412 ,头颅血肿              ,13
413 ,预激综合征             ,13
414 ,肾病                ,13
415 ,蛛网膜囊肿             ,12
416 ,腺样体增生             ,12
417 ,男性青春期乳房发育         ,12
418 ,淋巴结长大             ,12
419 ,CML               ,12
420 ,母乳性黄疸             ,12
421 ,小头畸形              ,12
422 ,追高                ,12
423 ,头围大               ,12
424 ,NB                ,12
425 ,头皮血肿              ,12
426 ,未到                ,12
427 ,蜂窝组织炎             ,12
428 ,左肾积水              ,12
429 ,语言                ,12
430 ,睾丸鞘膜积液            ,12
431 ,白细胞减少             ,12
432 ,颈淋巴结长大            ,12
433 ,进行性肌营养不良          ,12
434 ,打鼾                ,12
435 ,营养不良性矮小           ,12
436 ,牛奶蛋白过敏            ,12
437 ,白细胞降低             ,12
438 ,语言发育迟缓            ,12
439 ,自闭症               ,11
440 ,右侧鞘膜积液            ,11
441 ,生理性膝外翻            ,11
442 ,左侧隐睾              ,11
443 ,偏瘫                ,11
444 ,运动                ,11
445 ,全面性发育落后           ,11
446 ,三体综合征             ,11
447 ,智力发育落后            ,11
448 ,再生障碍性贫血           ,11
449 ,先天性心脏病室间隔缺损       ,11
450 ,生长发育迟缓            ,11
451 ,枕后淋巴结炎            ,11
452 ,反复急性上呼吸道感染        ,11
453 ,MG                ,11
454 ,肛周皮炎              ,11
455 ,FSS               ,11
456 ,室间隔缺损介入术后         ,11
457 ,乳房长大              ,11
458 ,髋关节发育不良           ,11
459 ,面部白斑              ,10
460 ,下肢疼痛              ,10
461 ,语言发育迟滞            ,10
462 ,G                 ,10
463 ,歪嘴哭综合征            ,10
464 ,汗多                ,10
465 ,尿布皮炎              ,10
466 ,动脉导管未闭术后          ,10
467 ,窦性心动过速            ,10
468 ,染色体异常             ,10
469 ,反复口腔溃疡            ,10
470 ,过敏                ,10
471 ,ALL移植后            ,10
472 ,肾积水               ,10
473 ,眼睑浮肿              ,10
474 ,口咽高敏              ,10
475 ,血象两系降低            ,10
476 ,胸廓畸形              ,10
477 ,VD缺乏              ,10
478 ,重症肌无力             ,10
479 ,PDA术后             ,10
480 ,甲营养不良             ,10
481 ,重型地中海贫血           ,10
482 ,NHL               ,10
483 ,青春中晚期             ,10
484 ,早产                ,10
485 ,胸腔积液              ,10
486 ,背部血管瘤             ,10
487 ,粒细胞缺乏             ,10
488 ,右侧隐睾              ,10
489 ,乳糖不耐受             ,10
490 ,气紧                ,10
491 ,JRA               ,10
492 ,白发                ,9
493 ,新生儿贫血             ,9
494 ,高血铅               ,9
495 ,血便                ,9
496 ,走路姿势异常            ,9
497 ,房间隔缺损封堵术后         ,9
498 ,右侧睾丸鞘膜积液          ,9
499 ,部分生长激素缺乏          ,9
500 ,VSD介入术后           ,9
501 ,龋齿                ,9
502 ,病毒性               ,9
503 ,遗传代谢性疾病           ,9
504 ,运动发育迟缓            ,9
505 ,急性中耳炎             ,9
506 ,左侧面瘫              ,9
507 ,CMPA              ,9
508 ,CFC               ,9
509 ,中央型               ,9
510 ,肝功受损              ,9
511 ,脑发育不良             ,9
512 ,肺含铁               ,9
513 ,频发室性早搏            ,9
514 ,继发孔               ,9
515 ,急性上呼吸道感染细菌性       ,9
516 ,前囟未闭              ,9
517 ,幼年特发性关节炎          ,9
518 ,肾病综合症             ,9
519 ,地贫移植后             ,9
520 ,偏食                ,9
521 ,急性淋巴细胞性白血病L       ,9
522 ,糜烂                ,9
523 ,血象两系减低            ,9
524 ,青春后期              ,9
525 ,缺钙                ,9
526 ,CPP联合生长激素治疗       ,9
527 ,低热                ,9
528 ,VSD封堵术后           ,9
529 ,总胆汁酸增高            ,9
530 ,头部包块              ,9
531 ,颈部淋巴结             ,9
532 ,擦腿综合征             ,9
533 ,铁缺乏症              ,9
534 ,新生儿病理性黄疸          ,8
535 ,睡眠差原因             ,8
536 ,CITP              ,8
537 ,左侧睾丸鞘膜积液          ,8
538 ,肝功损害              ,8
539 ,销号                ,8
540 ,自身免疫性溶血性贫血        ,8
541 ,屏气发作              ,8
542 ,ASD术后             ,8
543 ,中危组               ,8
544 ,血小板增高             ,8
545 ,外周性性早熟            ,8
546 ,新生儿上呼吸道感染         ,8
547 ,男性乳房发育            ,8
548 ,MB                ,8
549 ,乔甲炎               ,8
550 ,动脉导管未闭介入术后        ,8
551 ,慢性非萎缩性胃窦炎         ,8
552 ,脑积水               ,8
553 ,脓毒血症              ,8
554 ,血友病甲              ,8
555 ,胎儿咨询              ,8
556 ,枕后包块              ,8
557 ,反复上感              ,8
558 ,急性发热性粘膜皮肤淋巴结综合    ,8
559 ,病毒性脑炎             ,8
560 ,肺动脉高压             ,8
561 ,包皮术后              ,8
562 ,左侧鞘膜积液            ,8
563 ,冠脉扩张              ,8
564 ,快进展型青春期           ,8
565 ,急性淋巴细胞白血病L        ,8
566 ,RMS               ,8
567 ,家族性矮小             ,8
568 ,婴儿腹泻              ,8
569 ,S                 ,8
570 ,睡眠不佳              ,8
571 ,幽门螺旋杆菌感染          ,8
572 ,中度                ,8
573 ,轻型β地中海贫血          ,8
574 ,跛行                ,8
575 ,颈部                ,8
576 ,阵发性室上性心动过速        ,8
577 ,过敏性               ,8
578 ,VSAA移植后           ,8
579 ,不来就诊              ,8
580 ,中间型               ,8
581 ,两系降低              ,8
582 ,成年骨龄              ,8
583 ,枕部淋巴结长大           ,8
584 ,颌下淋巴结长大           ,8
585 ,β地中海贫血            ,8
586 ,生长激素缺乏            ,8
587 ,迁延性支气管炎           ,8
588 ,血小板增多症            ,8
589 ,包皮炎               ,8
590 ,十二指肠炎             ,7
591 ,肌部                ,7
592 ,类风湿关节炎            ,7
593 ,多关节型              ,7
594 ,预防尿布疹             ,7
595 ,干呕                ,7
596 ,肝脏长大              ,7
597 ,精神发育迟滞            ,7
598 ,佝偻病后遗症期           ,7
599 ,心肌致密化不全           ,7
600 ,皮肤血管瘤             ,7
601 ,晕倒                ,7
602 ,胆道闭锁              ,7
603 ,心脏长大              ,7
604 ,白细胞减少症            ,7
605 ,十二指肠球部溃疡          ,7
606 ,过敏性紫癜性肾炎          ,7
607 ,二尖瓣反流             ,7
608 ,二叶式主动脉瓣           ,7
609 ,重型β地中海贫血          ,7
610 ,多动                ,7
611 ,重症肺炎              ,7
612 ,乏力                ,7
613 ,新生儿               ,7
614 ,高胆红素血症            ,7
615 ,增高                ,7
616 ,HB                ,7
617 ,管型                ,7
618 ,免疫性血小板减少性紫癜       ,7
619 ,呕血                ,7
620 ,室早                ,7
621 ,失神发作              ,7
622 ,面瘫                ,7
623 ,胸膜炎               ,7
624 ,凝血功能障碍            ,7
625 ,CD                ,7
626 ,脑膜炎               ,7
627 ,复发                ,7
628 ,血象三系降低            ,7
629 ,心律不齐              ,7
630 ,血管迷走性晕厥           ,7
631 ,耳后淋巴结             ,7
632 ,HD                ,7
633 ,皮肤感染              ,7
634 ,胆囊结石              ,7
635 ,消化道出血             ,7
636 ,肾小球肾炎             ,7
637 ,偏头痛               ,7
638 ,过敏性鼻结膜炎           ,7
639 ,枕部包块              ,7
640 ,脐炎                ,7
641 ,血小板减少原因           ,7
642 ,浅表性胃炎             ,7
643 ,冠状动脉扩张            ,7
644 ,HP阳性              ,7
645 ,脾大                ,7
646 ,好动                ,7
647 ,脾脏长大              ,6
648 ,粒细胞降低             ,6
649 ,天                 ,6
650 ,心弹纤               ,6
651 ,干下型               ,6
652 ,早期佝偻病             ,6
653 ,皮肤黄染              ,6
654 ,X型腿               ,6
655 ,动脉导管未闭封堵术后        ,6
656 ,肌营养不良             ,6
657 ,胃肠型感冒             ,6
658 ,听力障碍              ,6
659 ,VD                ,6
660 ,排便延迟              ,6
661 ,滑膜炎               ,6
662 ,Vd不足              ,6
663 ,肾炎                ,6
664 ,运动发育迟滞            ,6
665 ,家族性               ,6
666 ,肾炎性肾病             ,6
667 ,检查用药              ,6
668 ,生长速度缓慢            ,6
669 ,幼年型类风湿性关节炎        ,6
670 ,习惯性交叉擦腿综合征        ,6
671 ,寄生虫感染             ,6
672 ,耳后                ,6
673 ,窦性心动过缓            ,6
674 ,完右                ,6
675 ,慢性浅表性胃炎           ,6
676 ,先天性巨结肠            ,6
677 ,鼻泪管堵塞             ,6
678 ,类风湿性关节炎           ,6
679 ,AML移植后            ,6
680 ,白血病               ,6
681 ,左肺肺炎              ,6
682 ,尿痛                ,6
683 ,哮喘急性发作            ,6
684 ,语言发育障碍            ,6
685 ,交叉擦腿综合征           ,6
686 ,矮小症               ,6
687 ,CML移植后            ,6
688 ,痔疮                ,6
689 ,咳嗽                ,6
690 ,血小板增高原因           ,6
691 ,抽动                ,6
692 ,脑损伤后              ,6
693 ,免疫功能低下            ,6
694 ,斑秃                ,6
695 ,嗜酸细胞增多症           ,6
696 ,关节疼痛              ,6
697 ,房间隔缺损术后           ,6
698 ,右肺炎症              ,6
699 ,反复化脓性扁桃体炎         ,6
700 ,过敏性结膜炎            ,6
701 ,嗜酸细胞增高            ,6
702 ,颅内感染              ,6
703 ,颈部淋巴结肿大           ,6
704 ,乙肝大三阳             ,6
705 ,抗                 ,6
706 ,乳房发育不良            ,6
707 ,肺动脉瘘              ,6
708 ,长高欠佳              ,6
709 ,淋巴结肿大             ,6
710 ,血小板减少性紫癜          ,6
711 ,肠结核               ,6
712 ,常规体检              ,6
713 ,糜烂性胃炎             ,6
714 ,皮炎                ,6
715 ,EWS               ,6
716 ,疝气                ,6
717 ,主动脉瓣狭窄            ,6
718 ,SGA矮小             ,6
719 ,结节性硬化             ,6
720 ,染色体病              ,6
721 ,呛奶                ,6
722 ,叹气                ,6
723 ,左下肺炎              ,6
724 ,巨细胞病毒性肝炎          ,6
725 ,脑损伤后遗症            ,6
726 ,FC                ,6
727 ,腹部不适              ,6
728 ,肠套叠               ,6
729 ,直立调节障碍            ,5
730 ,ADHD混合型           ,5
731 ,包皮粘连              ,5
732 ,结核性脑膜炎            ,5
733 ,心悸                ,5
734 ,智力落后              ,5
735 ,细菌性脑膜炎            ,5
736 ,低分化鳞癌             ,5
737 ,十二指肠溃疡            ,5
738 ,骨矿化不足             ,5
739 ,右侧偏瘫              ,5
740 ,性早熟追高             ,5
741 ,VD不足复诊            ,5
742 ,心肌损害              ,5
743 ,真菌感染              ,5
744 ,肠胀气               ,5
745 ,咽                 ,5
746 ,败血症               ,5
747 ,高尿酸血症             ,5
748 ,婴儿排便迟滞            ,5
749 ,MG眼肌型             ,5
750 ,轻型α               ,5
751 ,右侧面瘫              ,5
752 ,双侧隐睾              ,5
753 ,耳后淋巴结长大           ,5
754 ,大扁桃               ,5
755 ,胆红素脑病             ,5
756 ,肾母细胞瘤             ,5
757 ,脑软化               ,5
758 ,心功能不全             ,5
759 ,精神                ,5
760 ,支气管软化             ,5
761 ,蟯虫                ,5
762 ,功能性便秘             ,5
763 ,臀部血管瘤             ,5
764 ,室缺封堵术后            ,5
765 ,腹部包块              ,5
766 ,转氨酶增高             ,5
767 ,神经纤维瘤             ,5
768 ,毛囊炎               ,5
769 ,高血压               ,5
770 ,左侧斜疝              ,5
771 ,不完右               ,5
772 ,急性肾小球肾炎           ,5
773 ,房间隔小缺损            ,5
774 ,疱疹性咽峡炎痊愈          ,5
775 ,ALL停药             ,5
776 ,右侧斜疝              ,5
777 ,T                 ,5
778 ,生长发育缓慢            ,5
779 ,抖动                ,5
780 ,单纯型               ,5
781 ,枕后淋巴结长大           ,5
782 ,先天性喉喘鸣            ,5
783 ,尿崩症               ,5
784 ,记忆力差              ,5
785 ,不足                ,5
786 ,磨牙                ,5
787 ,双侧颈部淋巴结长大         ,5
788 ,肝脏占位              ,5
789 ,房间隔缺损介入术后         ,5
790 ,脑损伤后遗             ,5
791 ,肌张力增高             ,5
792 ,心内膜弹力纤维增生症        ,5
793 ,不典型川崎病            ,5
794 ,行为异常              ,5
795 ,化脓性腮腺炎            ,5
796 ,肝硬化               ,5
797 ,心慌                ,5
798 ,淋巴管瘤              ,5
799 ,再生障碍性贫血移植后        ,5
800 ,急性淋巴细胞白血病         ,5
801 ,枕后                ,5
802 ,上呼吸道感染细菌性         ,5
803 ,瘀斑                ,5
804 ,扁桃体肥大             ,5
805 ,头大                ,5
806 ,胆汁反流性胃炎           ,5
807 ,上腹痛               ,5
808 ,生理性膝内翻            ,5
809 ,急性咽喉炎             ,5
810 ,副鼻窦炎              ,5
811 ,间质性肺炎             ,5
812 ,GCT               ,5
813 ,手足口               ,5
814 ,青春期矮小             ,5
815 ,甲状腺炎              ,5
816 ,结核                ,5
817 ,室缺术后              ,4
818 ,右肾积水              ,4
819 ,心肌酶增高             ,4
820 ,头部外伤              ,4
821 ,少关节型              ,4
822 ,I度房室传导阻滞          ,4
823 ,左腋下包块             ,4
824 ,耳前瘘管              ,4
825 ,术后                ,4
826 ,排便困难              ,4
827 ,支原体感染后咳嗽          ,4
828 ,发育迟缓              ,4
829 ,血小板升高             ,4
830 ,双侧腹股沟斜疝           ,4
831 ,头部外伤后             ,4
832 ,室间隔缺损封堵术后         ,4
833 ,婴儿肝炎综合症           ,4
834 ,皮肤白斑              ,4
835 ,左耳后淋巴结炎           ,4
836 ,重度贫血              ,4
837 ,挑食                ,4
838 ,生长速度减缓追高          ,4
839 ,AA移植后             ,4
840 ,完全性隐匿阴茎           ,4
841 ,间胆增高              ,4
842 ,房早                ,4
843 ,左小腿蜂窝组织炎          ,4
844 ,非霍奇金淋巴瘤           ,4
845 ,语言运动发育落后          ,4
846 ,视神经萎缩             ,4
847 ,腹部膨隆              ,4
848 ,尿隐血               ,4
849 ,扩心病               ,4
850 ,肺动脉瓣反流            ,4
851 ,生长激素部分缺乏          ,4
852 ,大便困难              ,4
853 ,继发性脑损伤            ,4
854 ,肺炎复诊              ,4
855 ,前囟膨隆              ,4
856 ,开母乳喂养证明           ,4
857 ,支炎                ,4
858 ,右侧颈部包块            ,4
859 ,PD酶缺乏症            ,4
860 ,学习困难              ,4
861 ,误服昆虫杀虫剂           ,4
862 ,免疫缺陷病             ,4
863 ,驱虫                ,4
864 ,中枢性尿崩症            ,4
865 ,重复挂号              ,4
866 ,ALP增高             ,4
867 ,性机能延迟发育综合征        ,4
868 ,腭裂                ,4
869 ,扁桃体肿大             ,4
870 ,出牙延迟              ,4
871 ,哮喘缓解期             ,4
872 ,走路跛行              ,4
873 ,发热皮疹              ,4
874 ,O                 ,4
875 ,癔症                ,4
876 ,虫咬性皮疹             ,4
877 ,细菌性腮腺炎            ,4
878 ,强直性脊柱炎            ,4
879 ,疱疹                ,4
880 ,频发房性早搏            ,4
881 ,阴茎发育不良            ,4
882 ,流涎                ,4
883 ,肾小管酸中毒            ,4
884 ,嗜酸性细胞增多症          ,4
885 ,反复发热              ,4
886 ,月经紊乱              ,4
887 ,三尖瓣轻度反流           ,4
888 ,咯血                ,4
889 ,甲状旁腺素增高           ,4
890 ,支原体               ,4
891 ,检查前镇静             ,4
892 ,克罗恩病              ,4
893 ,腿纹不对称             ,4
894 ,营养性缺铁性贫血          ,4
895 ,尿道下裂              ,4
896 ,慢性咽喉炎             ,4
897 ,麦粒肿               ,4
898 ,乳房发育原因            ,4
899 ,右侧胸腔积液            ,4
900 ,狭窄                ,4
901 ,外阴粘连              ,4
902 ,溶血性贫血             ,4
903 ,先髋                ,4
904 ,慢性腹痛              ,4
905 ,患儿不来就诊            ,4
906 ,手足口病已愈            ,4
907 ,肝脾大               ,4
908 ,白细胞增高             ,4
909 ,低血糖               ,4
910 ,心肌病               ,4
911 ,反复肺炎              ,4
912 ,皮下包块              ,4
913 ,右侧乳房蜂窝组织炎         ,4
914 ,皮肤                ,4
915 ,右小腿蜂窝组织炎          ,4
916 ,川崎病后遗症期           ,4
917 ,青春中期              ,4
918 ,外伤后               ,4
919 ,右肺门影增浓            ,4
920 ,猩红热               ,4
921 ,青春期发育             ,4
922 ,cGVHD             ,4
